adult,genre_ids,original_language,original_title,overview,popularity,release_date,vote_average,vote_count,genre_names
False,"[80, 18, 10749]",zh,牯嶺街少年殺人事件,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",3.3053,1991-07-27,8.321,343,"['Crime', 'Drama', 'Romance']"
False,"[12, 35, 878]",en,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",13.983,1985-07-03,8.321,20684,"['Adventure', 'Comedy', 'Science Fiction']"
False,"[16, 878, 10751]",en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",32.8652,2024-09-12,8.315,5168,"['Animation', 'Science Fiction', 'Family']"
False,"[28, 12, 53]",es,Contraataque,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",14.715,2025-02-27,8.315,718,"['Action', 'Adventure', 'Thriller']"
False,"[16, 18, 10749]",ja,ジョゼと虎と魚たち,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",3.0229,2020-12-25,8.312,516,"['Animation', 'Drama', 'Romance']"
False,[18],ja,生きる,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",2.8747,1952-10-09,8.3,1214,['Drama']
False,"[16, 53]",ja,PERFECT BLUE,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.",5.5705,1998-02-28,8.3,2855,"['Animation', 'Thriller']"
False,[18],en,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",10.168,1989-06-02,8.301,11733,['Drama']
False,"[80, 18, 28]",fr,Léon,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",12.4174,1994-09-14,8.301,15310,"['Crime', 'Drama', 'Action']"
False,"[35, 10752]",en,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,3.4185,1940-10-15,8.296,3489,"['Comedy', 'War']"
False,[18],en,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,3.3458,1950-08-10,8.294,2706,['Drama']
False,"[18, 35]",es,Dedicada A Mi Ex,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",0.7396,2019-11-01,8.291,510,"['Drama', 'Comedy']"
False,"[16, 14, 10749, 18]",ja,劇場版 ヴァイオレット・エヴァーガーデン,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",3.3821,2020-09-18,8.3,454,"['Animation', 'Fantasy', 'Romance', 'Drama']"
False,"[18, 37]",it,C'era una volta il West,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",13.3714,1968-12-21,8.285,4574,"['Drama', 'Western']"
False,"[18, 35]",it,C'eravamo tanto amati,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",0.9332,1974-12-21,8.284,602,"['Drama', 'Comedy']"
False,"[10749, 16, 14]",ja,蛍火の杜へ,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.0039,2011-09-17,8.28,1152,"['Romance', 'Animation', 'Fantasy']"
False,"[35, 18, 10749]",en,Modern Times,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",2.3999,1936-02-05,8.28,3844,"['Comedy', 'Drama', 'Romance']"
